employeeid,employeename,technologies_covered,project_id
370,"Saira Loyal","AWS, CCNA",498
370,"Saira Loyal","CCNA, Cisco Routers",498
370,"Saira Loyal","AWS, Power BI",498
370,"Saira Loyal","AWS, Cisco Routers",498
370,"Saira Loyal","AWS, Power BI",501
370,"Saira Loyal","AWS, Cisco Routers",501
370,"Saira Loyal","AWS, CCNA",501
370,"Saira Loyal","CCNA, Cisco Routers",501
370,"Saira Loyal","AWS, Power BI",658
370,"Saira Loyal","AWS, Cisco Routers",658
370,"Saira Loyal","AWS, CCNA",658
370,"Saira Loyal","CCNA, Cisco Routers",658
370,"Saira Loyal","AWS, CCNA",983
370,"Saira Loyal","AWS, Power BI",983
370,"Saira Loyal","AWS, Cisco Routers",983
370,"Saira Loyal","CCNA, Cisco Routers",983
593,"Sara Sibal","AWS, Power BI",726
593,"Sara Sibal","AWS, Power BI",992
813,"Sara Vohra","Azure, CCNA",355
813,"Sara Vohra","CCNA, Power BI",355
344,"Seher Kara","Cisco Routers, CCNA",186
671,"Shamik Bhardwaj","CCNA, Cisco Routers",304
659,"Shamik Wali","CCNA, Power BI",979
659,"Shamik Wali","CCNA, Cisco Routers",979
471,"Stuvan Dixit","CCNA, Azure",996
455,"Tushar Dalal","AWS, Cisco Routers",84
262,"Vaibhav Sidhu","CCNA, Power BI",116
262,"Vaibhav Sidhu","Azure, Cisco Routers",116
262,"Vaibhav Sidhu","Azure, CCNA",116
262,"Vaibhav Sidhu","Power BI, AWS",116
262,"Vaibhav Sidhu","Azure, CCNA",339
262,"Vaibhav Sidhu","CCNA, Power BI",339
262,"Vaibhav Sidhu","Azure, Cisco Routers",339
262,"Vaibhav Sidhu","Power BI, AWS",339
262,"Vaibhav Sidhu","Azure, CCNA",632
262,"Vaibhav Sidhu","CCNA, Power BI",632
262,"Vaibhav Sidhu","Azure, Cisco Routers",632
262,"Vaibhav Sidhu","Power BI, AWS",632
262,"Vaibhav Sidhu","Azure, Cisco Routers",783
262,"Vaibhav Sidhu","Power BI, AWS",783
262,"Vaibhav Sidhu","CCNA, Power BI",783
262,"Vaibhav Sidhu","Azure, CCNA",783
569,"Yashvi Ramakrishnan","Cisco Routers, Power BI",890
888,"Zain Karan","CCNA, Cisco Routers",352
563,"Zoya Badal","Azure, Power BI",460
